OBJECTID,Company,Address,City,State,ZipCode,Better_Lat,Better_Long,SquareFeet,Common_Name,Notes,PHONE,FAX,EMAIL,WEBSITE,DIG_MEMBER,Data_Source,Centroid_X,Centroid_Y,ORIG_FID
20,TRADING INCORPORATED SAAD                         ,16322 W WARREN AVE                                ,DETROIT                       ,MI,48228,42.34381,-83.205186,7555.47396763085,Papaya Fruit Market,,,,,,,NETS/Devries,-83.2052657656382,42.3438214025417,20
21,LOUIS K INC                                       ,16910 SCHAEFER HWY                                ,DETROIT                       ,MI,48235,42.415471,-83.178827,10611.4314958882,Fairway Foods,,,,,,,NETS/Devries,-83.1793043703848,42.4157494946279,21
22,BARAKAH GROCERY                                   ,17007 W WARREN AVE                                ,DETROIT                       ,MI,48228,42.34315,-83.212489,2260.31985059581,"Barakah Poultry, Grocery & Produce",,,,,,,NETS/Devries,-83.2124895844573,42.3431845812521,22
23,CORKTOWN MARKET                                   ,1701 TRUMBULL ST                                  ,DETROIT                       ,MI,48216,42.32962,-83.065922,2650.74356690419,Bagley Trumbull Market Grocery,,,,,,,NETS/Devries,-83.0658628809041,42.3295414094331,23
24,DE BRUCE CO                                       ,17021 SCHOOLCRAFT ST                              ,DETROIT                       ,MI,48227,42.386462,-83.214297,13410.6094058303,Super Land Market,,,,,,,NETS/Devries,-83.2144345601683,42.3864839763175,24
25,PIC-PAK SUPER MARKET                              ,17600 JOY RD                                      ,DETROIT                       ,MI,48228,42.358206,-83.214754,9767.81127794523,G.K Pic-Pack Market,"Not a grocery? Awning: ""Coldest Beer in Town."" RL",,,,,,NETS/Devries,-83.2142874737035,42.358195187935,25
26,SEAWAY MARKET PLACE                               ,18330 W CHICAGO ST                                ,DETROIT                       ,MI,48228,42.365614,-83.219691,15074.4705747295,Sea Way Market Place,,,,,,,NETS/Devries,-83.2196635299682,42.3656813865749,26
27,WARRENDALE FRUIT MARKET                           ,18510 W WARREN AVE                                ,DETROIT                       ,MI,48228,42.343594,-83.221119,3977.66134164673,Karbala Food Mart,,,,,,,NETS/Devries,-83.2211135539202,42.3435893670078,27
28,METRO FOODS INC                                   ,18551 GRAND RIVER AVE                             ,DETROIT                       ,MI,48223,42.402083,-83.22326,21847.1927815968,Metro Foodland,,(313) 838-2754,(313) 835-7744,Info@metrofoodland.com,http://metrofoodland.com/,No,NETS/Devries,-83.2242944421314,42.4025674938488,28
29,JOHN R FOOD MARKET                                ,19040 JOHN R ST                                   ,DETROIT                       ,MI,48203,42.431975,-83.10202,6551.16145990466,John R. Food Mkt.,,,,,,,NETS/Devries,-83.1020238819717,42.4320520699019,29
30,CARNICERIA GUADALAJARA                            ,1930 SPRINGWELLS ST                               ,DETROIT                       ,MI,48209,42.309335,-83.125352,2619.37357346999,El Rodeo Supermercado,,,,,,,NETS/Devries,-83.1253443733661,42.3092715322464,30
31,GREEN VALLEY GROCERY LLC                          ,19617 W WARREN AVE                                ,DETROIT                       ,MI,48228,42.342887,-83.233248,2014.7238934164,Green Valley Groceries,,,,,,,NETS/Devries,-83.2332392702382,42.3429600514834,31
32,KASSA FOODS INC                                   ,20221 JOY RD                                      ,DETROIT                       ,MI,48228,42.357126,-83.238969,19467.0843479565,Saturn Super Foods,,(313) 846-7555,(313) 846-6411,,,Yes,NETS/Devries,-83.2389244356769,42.3571412991302,32
33,BILLYS PRODUCE INC                                ,2030 SPRINGWELLS ST                               ,DETROIT                       ,MI,48209,42.309994,-83.12583,4255.86457629552,Aldama's Produce,,,,,,,NETS/Devries,-83.1257878971355,42.3099567629895,33
34,NEVADA SUPERMARKET INC                            ,2510 E NEVADA ST                                  ,DETROIT                       ,MI,48234,42.425511,-83.077159,5387.8196205118,Nevada Supermarket,,,,,,,NETS/Devries,-83.0770984240329,42.4255348730016,34
35,SUPERMERCADO LABARCA INC                          ,2526 PEARL ST                                     ,DETROIT                       ,MI,48209,42.312621,-83.131567,5033.48537987445,SuperMercado La Barca,Actually a house.  Correct address: 1220 Lawndale,,,,,,NETS/Devries,-83.1271592594505,42.30193469266,35
36,VERNOR SUPERMARKET INC                            ,3344 W VERNOR HWY                                 ,DETROIT                       ,MI,48216,42.324666,-83.085261,2175.24755892861,W. Vernor Supermercado,Closed.  Phone disconnected. - RL,,,,,,NETS/Devries,-83.0853663895356,42.3246806165444,36
37,AMBASSADOR MARKET                                 ,3620 MICHIGAN AVE                                 ,DETROIT                       ,MI,48216,42.331635,-83.093559,817.049008194102,,Closed.  Site is a vacant lot. Bad Poly. - RL,,,,,,NETS/Devries,-83.0935499578698,42.3316459717457,37
38,LA MEXICANA                                       ,3923 W VERNOR HWY                                 ,DETROIT                       ,MI,48216,42.322,-83.0908,7930.46684272473,La Mexicana Supermercado,,,,,,,NETS/Devries,-83.0909444761691,42.3218836755856,38
39,YEMEN ISLAMIC MARKET                              ,4044 MILLER ST                                    ,DETROIT                       ,MI,48211,42.390414,-83.040209,3818.18375930589,Yemen Islamic Market,,,,,,,NETS/Devries,-83.0402005229697,42.3904289761972,39
40,STEVES PRODUCE PLUS                               ,4650 CONNER ST                                    ,DETROIT                       ,MI,48215,42.387531,-82.970799,8732.39563028042,Steve's Produce Plus,,,,,,,NETS/Devries,-82.9705541663494,42.3874389755971,40
41,SUPER 6 MARKET                                    ,4929 E MCNICHOLS RD                               ,DETROIT                       ,MI,48212,42.41907,-83.05334,9040.12558520034,Super 6 Market,,,,,,,NETS/Devries,-83.0532991632087,42.4190929859708,41
42,FOOD PRIDE SUPER MARKET                           ,500 E WARREN AVE                                  ,DETROIT                       ,MI,48201,42.358894,-83.057777,36024.5391299639,Food Price Super Market,,(313) 832-1151,,,,,NETS/Devries,-83.0580652714017,42.3586997014921,42
43,JOE RNDAZZOS FRT VEGETABLE INC                    ,5240 E OUTER DR                                   ,DETROIT                       ,MI,48234,42.436565,-83.016287,30312.6124062054,Joe Randazzo's Fruits & Vegetables,,,,,,,NETS/Devries,-83.015711566752,42.4368082644185,43
44,MY THREE SONS INC                                 ,5736 GRAND RIVER AVE                              ,DETROIT                       ,MI,48208,42.353367,-83.099983,7835.66367272809,Royal $ Market,,,,,,,NETS/Devries,-83.0999856524893,42.3533208798373,44
45,E R & G INC                                       ,5800 CANIFF ST                                    ,DETROIT                       ,MI,48212,42.405462,-83.043197,28659.5491548036,Krown Supermarket,,(313) 893-1414,(313) 893-5122,,http://imperialkrownmarkets.com/,Yes,NETS/Devries,-83.0429947917155,42.4052497381482,45
46,JFK PRODUCE INC                                   ,6401 W VERNOR HWY                                 ,DETROIT                       ,MI,48209,42.315265,-83.111463,8560.11587827154,Mexican Palace Fruit Market,,,,,,,NETS/Devries,-83.1117428227767,42.315267385956,46
47,METRO SUPER MARKET INC                            ,6461 W WARREN AVE                                 ,DETROIT                       ,MI,48210,42.344161,-83.132455,18266.6240266904,Metro Food Center,,(313) 894-0200,(313) 894-5858,,,Yes,NETS/Devries,-83.1325139885648,42.3439906909002,47
48,SUPER MERCADO LA-PIEDAD                           ,7101 W VERNOR HWY                                 ,DETROIT                       ,MI,48209,42.314,-83.1205,3313.21922433645,La Piedad Supermercado,,,,,,,NETS/Devries,-83.1201068313679,42.3141747748177,48
49,LA FIESTA MARKET                                  ,7403 W VERNOR HWY                                 ,DETROIT                       ,MI,48209,42.313335,-83.121924,15393.5843547959,La Fiesta Market Carniceria,,,,,,,NETS/Devries,-83.1218841007844,42.3133735519,49
50,FRESCO PRODUCE & NURSERY                          ,7761 GREENFIELD RD                                ,DETROIT                       ,MI,48228,42.349418,-83.19691,4994.971667335,Fresco Market Place,,,,,,,NETS/Devries,-83.1968988008886,42.3492788183187,50
51,NEW MICHIGAN FOOD CTR INC                         ,8414 MICHIGAN AVE                                 ,DETROIT                       ,MI,48210,42.330479,-83.146019,1673.53097948681,New Michigan Food Center,,,,,,,NETS/Devries,-83.1460798226855,42.3304733069756,51
52,MARKET INDIAN VILLAGE                             ,8415 E JEFFERSON AVE                              ,DETROIT                       ,MI,48214,42.354,-82.9911,14084.4882244717,Indian Village Marketplace,,,,,,,NETS/Devries,-82.9912509388856,42.354487516506,52
53,SUPER GIANT SUPER MARKET                          ,8830 GRATIOT AVE                                  ,DETROIT                       ,MI,48213,42.3863,-83.0094,9090.86857809412,Super Giant,,(313) 925-0511,,,,,NETS/Devries,-83.009251144644,42.3863835192841,53
54,OAKLAND FOOD CENTER                               ,908 WESTMINSTER ST                                ,DETROIT                       ,MI,48211,42.387958,-83.073721,8422.60222676183,Oakland Food Center,,,,,,,NETS/Devries,-83.07360573396,42.3878713363858,54
55,MAYFAIR FOOD MARKET INC                           ,9433 GRAND RIVER AVE                              ,DETROIT                       ,MI,48204,42.3663,-83.1333,8275.42814108541,Mayfair Market,,,,,,,NETS/Devries,-83.1334249918636,42.3661815429979,55
56,Aldi Food Store,14708 Mack Ave,DETROIT                       ,MI,48215,42.386489,-82.948833,16076.1156232929,Aldi,,,,,,,NETS/Devries,-82.9488585307576,42.3860018215697,56
57,Aldi Food Store,15415 Gratiot Ave,DETROIT                       ,MI,48205,42.44891,-82.96959,17358.8147947564,Aldi,,,,,,,NETS/Devries,-82.970356418671,42.4487988333452,57
58,King Cole Foods,40 Clairmount St.,DETROIT                       ,MI,48202,42.382804,-83.082609,14687.6645200428,King Cole Foods,,(313) 872-0220,(313) 872-6480,kingcole40@hotmail.com,http://kingcolefoods.com/,Yes,NETS/Devries,-83.0825281666533,42.3828642758416,58
59,La Fiesta Market,4645 Vernor Hwy,DETROIT                       ,MI,48209,42.319167,-83.09769,874.167211477838,,Cannot locate.  Duplicate? Bad Poly. - RL,,,,,,NETS/Devries,-83.0977317628651,42.319254041495,59
60,Americana Foods,15041 Plymouth Rd,Detroit,MI,48227,,,11863.5176289401,Americana Foods,Data Verified by PH - 5/25/2012,(313) 837-1999,(313) 837-4150,,http://mydetroitgrocers.com/americana-foods,Yes,NETS/Devries,-83.1926187656822,42.3723946158507,60
61,Apollo Market Place,20250 W 7 Mile Rd,Detroit,MI,48219,,,41261.8198747108,Apollo Market Place,Data Verified by PH - 5/25/2012,(313) 538-0000,(313) 538-9135,sam.shina@hotmail.com,http://apollomarketplace.com/,Yes,NETS/Devries,-83.2418091931037,42.4307483590431,61
62,Atlas Market,2645 W Davison St,Detroit,MI,48238,,,22063.7319275263,Atlas Market,Data Verified by PH - 5/25/2012,(313) 868-2000,(313) 868-2004,atlas0610@aol.com,,Yes,NETS/Devries,-83.1229958311681,42.3921024615046,62
63,Azteca Supermercado,2411 Central St,Detroit,MI,48209,,,24247.2452280789,Azteca Supermercado,Data Verified by PH - 5/25/2012,(313) 843-0500,(313) 843-8121,info@aztecasupermercado.com,http://aztecasupermercado.com/,No,NETS/Devries,-83.1254880764507,42.3136009402815,63
64,Big Bear Food Center,15200 E Warren Ave,Detroit,MI,48224,,,10848.6771126841,Big Bear Food Center,Data Verified by PH - 5/25/2012,(313) 343-9406,(313) 882-5069,romanyono55@yahoo.com,,Yes,NETS/Devries,-82.9504387677029,42.3981929910474,64
65,Del Pointe Foods,16700 Harper Ave,Detroit,MI,48224,,,19393.3829914342,Del Pointe Foods,Data Verified by PH - 5/25/2012,(313) 886-7700,(313) 886-7705,,http://delpointefoods.com/,Yes,NETS/Devries,-82.9398312800778,42.4139954588562,65
66,E&L Supermercado,6000 W Vernor Hwy,Detroit,MI,48209,,,20220.1988602255,E&L Supermercado,Data Verified by PH - 5/25/2012,(313) 554-2140,(313) 554-2143,contact@elmeats.com,http://el-supermercado.com/,No,NETS/Devries,-83.1064764297553,42.3168711753768,66
67,Fairline Food Center,16520 W Warren Ave,Detroit,MI,48228,,,19227.9795643499,Fairline Food Center,Data Verified by PH - 5/25/2012,(313) 584-9630,(313) 584-6040,,,No,NETS/Devries,-83.2076293242519,42.3437896455209,67
68,Family Fair Food Center,700 Chene St,Detroit,MI,48207,,,27843.2695019179,Family Fair Food Center,Data Verified by PH - 5/25/2012,(313) 259-5242,(313) 259-0416,familyfair806@gmail.com,,Yes,NETS/Devries,-83.0234347497851,42.3407711564595,68
69,Family Foods Super Store,8665 Rosa Parks Blvd,Detroit,MI,48206,,,60049.7536859591,Family Foods Super Store,Data Verified by PH - 5/25/2012,(313) 899-2700,(313) 899-7288,,,No,NETS/Devries,-83.0981477510043,42.3718100090757,69
70,Farmer John Food Center,9731 Harper Ave,Detroit,MI,48213,,,38270.5568874874,Farmer John Food Center,Data Verified by PH - 5/25/2012,(313) 921-0015,(313) 921-0162,farmer.johns@yahoo.com,http://farmerjohnmarket.com/,Yes,NETS/Devries,-83.0065331503495,42.3935985996336,70
71,Farmer's Best,18246 Wyoming St,Detroit,MI,48221,,,16207.3023892647,Farmer's Best,Data Verified by PH - 5/25/2012,(313) 345-3745,(313) 345-3751,farmersbestsupermarket@yahoo.com,http://farmersbestsupermarket.com/,Yes,NETS/Devries,-83.1604398406745,42.4250510717901,71
72,Food 4 Less Super Market,14020 Grand River Ave,Detroit,MI,48227,,,20429.2991729351,Food 4 Less Super Market,Data Verified by PH - 5/25/2012,(313) 272-4500,(313) 272-2620,info@food4lessdetroit.com,http://food4lessdetroit.com/,Yes,NETS/Devries,-83.1824077570513,42.3871781147775,72
73,Food Express Market,9911 E Jefferson Ave,Detroit,MI,48214,,,12917.810942303,Food Express Market,Data Verified by PH - 5/25/2012,(313) 822-4433,(313) 822-6870,foodexpressmarket@yahoo.com,,Yes,NETS/Devries,-82.9827597781845,42.3611282751798,73
74,Food Farm,11550 Dexter Ave,Detroit,MI,48206,,,13356.0674950789,Food Farm,Data Verified by PH - 5/25/2012,(313) 733-8633,(313) 826-7144,,,No,NETS/Devries,-83.1228406821137,42.3786219487401,74
75,Food Town Market,7811 Gratiot Ave,Detroit,MI,48213,,,33241.4734670014,Food Town Market,Data Verified by PH - 5/25/2012,(313) 923-1188,(313) 923-8187,vincentayar@gmail.com,,Yes,NETS/Devries,-83.0156107984091,42.3781057332976,75
76,Gigante Prince Valley Supermercado,5931 Michigan Ave,Detroit,MI,48210,,,19795.2202948168,Gigante Prince Valley Supermercado,Data Verified by PH - 5/25/2012,(313) 898-9717,(313) 898-9778,,http://gpvsupermarket.com/,Yes,NETS/Devries,-83.1160933052012,42.3304323801227,76
77,Glory Super Market (8 Mile),12230 E 8 Mile Rd,Detroit,MI,48205,,,47790.963218614,Glory Super Market (8 Mile),Data Verified by PH - 5/25/2012,(313) 371-4480,(313) 371-4378,Glory8mile@yahoo.com,http://glory-supermarket.com/,Yes,NETS/Devries,-83.000939863139,42.4477888629049,77
78,Glory Super Market (Outer Dr),8000 W Outer Dr,Detroit,MI,48219,,,62879.5876206325,Glory Super Market (Outer Dr),Data Verified by PH - 5/25/2012,(313) 255-1166,(313) 255-8611,glorysupermarket2@tds.net,http://glory-supermarket.com/,Yes,NETS/Devries,-83.2178493079069,42.420384302961,78
79,Glory Super Market (Telegraph),19150 Telegraph Rd,Detroit,MI,48235,,,37997.5711151748,Glory Super Market (Telegraph),Data Verified by PH - 5/25/2012,(313) 255-8922,(313) 255-9633,gloryrtm@aol.com,http://glory-supermarket.com/,Yes,NETS/Devries,-83.2762686624642,42.4299111242229,79
80,Greenfield Supermarket,15530 Puritan St,Detroit,MI,48227,,,27825.9984766215,Greenfield Supermarket,Data Verified by PH - 5/25/2012,(313) 837-1176,(313) 837-2570,,http://mygreenfieldmarket.com/,Yes,NETS/Devries,-83.1999553131636,42.4093495259751,80
81,Harbortown Market,3472 E Jefferson Ave,Detroit,MI,48207,,,16626.7817545847,Harbortown Market,Data Verified by PH - 5/25/2012,(313) 259-9400,(313) 259-9404,,http://harbortownmarket.com/,Yes,NETS/Devries,-83.010842968454,42.3425163242372,81
82,Honey Bee Market La Colmena,2443 Bagley St,Detroit,MI,48216,,,24551.6482685193,Honey Bee Market La Colmena,Data Verified by PH - 5/25/2012,(313) 237-0295,(313) 237-0369,contact@honeybeemkt.com,http://honeybeemkt.com/,No,NETS/Devries,-83.0765495304895,42.3254427090879,82
83,Imperial Supermarket,1940 E 8 Mile Rd,Detroit,MI,48234,,,46963.4112841012,Imperial Supermarket,Data Verified by PH - 5/25/2012,(313) 366-0670,(313) 366-1222,,http://imperialkrownmarkets.com/,Yes,NETS/Devries,-83.0817429743969,42.4460670698436,83
84,Jerry's Food Center,13433 W 8 Mile Rd,Detroit,MI,48235,,,15225.6474664672,Jerry's Food Center,Data Verified by PH - 5/25/2012,(313) 342-5200,(313) 342-8127,,,No,NETS/Devries,-83.1795627040267,42.4449384408884,84
85,Joy Thrifty Scot,3431 Joy Rd,Detroit,MI,48206,,,12441.8697226643,Joy Thrifty Scot,Data Verified by PH - 5/25/2012,(313) 894-2468,(313) 894-6623,,,No,NETS/Devries,-83.1166386630779,42.3703080208936,85
86,Kit Kat Super Market,8330 Harper Ave,Detroit,MI,48213,,,4641.75593946425,Kit Kat Super Market,Data Verified by PH - 5/25/2012,(313) 924-4244,(313) 924-0439,,,No,DIGA,-83.0175404783288,42.3892904496654,86
87,La Guadalupana Y Carniceria Supermercado,6680 Michigan Ave,Detroit,MI,48210,,,8207.14660480582,La Guadalupana Y Carniceria Supermercado,Data Verified by PH - 5/25/2012,(313) 897-4406,(313) 897-2910,,,No,NETS/Devries,-83.1261646267488,42.3314599400042,87
88,Lafayette Foods,1565 E Lafayette Blvd,Detroit,MI,48207,,,17185.8552691947,Lafayette Foods,Data Verified by PH - 5/25/2012,(313) 396-5600,(313) 396-5601,lafayettefoods@gmail.com,http://lafayettefoods.com/,Yes,NETS/Devries,-83.0321488171097,42.339088623967,88
89,Liberty Food Center,10620 W McNichols Rd,Detroit,MI,48221,,,22339.0886121093,Liberty Food Center,Data Verified by PH - 5/25/2012,(313) 862-9100,(313) 342-2228,libertyfood@sbcglobal.net,http://libertyfoodcenter.com/,Yes,NETS/Devries,-83.1677692220904,42.4171815483966,89
90,Livernois Food Center,13230 Livernois Ave,Detroit,MI,48238,,,8871.77466653814,Livernois Food Center,Data Verified by PH - 5/25/2012,(313) 491-4120,(313) 491-8244,melaniem1231@gmail.com,,Yes,NETS/Devries,-83.1391405709998,42.3855518344105,90
91,Lucky's Market,17241 E Warren Ave,Detroit,MI,48224,,,9518.63476687745,Lucky's Market,Data Verified by PH - 5/25/2012,(313) 882-9121,(313) 882-5069,,http://imperialkrownmarkets.com/,Yes,NETS/Devries,-82.9274782128036,42.4072544375314,91
92,Mike's Fresh Market (Gratiot),14383 Gratiot Ave,Detroit,MI,48205,,,59655.5272470633,Mike's Fresh Market (Gratiot),Data Verified by PH - 5/25/2012,(313) 526-8393,(313) 526-8394,,http://mikesfreshmarket.com/,Yes,NETS/Devries,-82.9788894371093,42.4366629265873,92
93,Mike's Fresh Market (Livernois),19195 Livernois Ave,Detroit,MI,48221,,,43324.1650172055,Mike's Fresh Market (Livernois),Data Verified by PH - 5/25/2012,(313) 345-4711,(313) 345-3920,,http://mikesfreshmarket.com/,Yes,NETS/Devries,-83.1426144929902,42.4330552992463,93
94,Motor City Market Place,11205 Mack Ave,Detroit,MI,48214,,,10844.3142956049,Motor City Market Place,"No evidence of carts, produce, meats - PH",(313) 331-4266,(313) 331-4267,,,No,DIGA,-82.9795762254769,42.3790049349821,94
95,New Merchant Food Center,2819 E 7 Mile Rd,Detroit,MI,48234,,,10381.5432510288,New Merchant Food Center,Data Verified by PH - 5/25/2012,(313) 368-2270,(313) 368-7050,newmerchant1@yahoo.com,http://merchantfoodcenter.com/,Yes,NETS/Devries,-83.0751516797089,42.4332393438875,95
96,New Redford Food Center,21673 Grand River Ave,Detroit,MI,48219,,,16676.134565169,New Redford Food Center,Data Verified by PH - 5/25/2012,(313) 533-6900,(313) 255-0519,nazinc@comcast.net,,Yes,NETS/Devries,-83.2566554904813,42.4156803394485,96
97,Pick & Save Supermarket,7404 E 7 Mile Rd,Detroit,MI,48234,,,21243.3364606839,Pick & Save Supermarket,Data Verified by PH - 5/25/2012,(313) 366-8300,(313) 366-2252,,http://pickandsavesupermarket.com/,Yes,NETS/Devries,-83.028126949481,42.4336260949729,97
98,Public Foods,16226 E Warren Ave,Detroit,MI,48224,,,8600.55253973306,Public Foods,Data Verified by PH - 5/25/2012,(313) 881-7555,(313) 881-7624,,,No,NETS/Devries,-82.9403031561587,42.4019239499847,98
99,Ryan's Foods,5858 W Vernor Hwy,Detroit,MI,48209,,,16646.597709346,Ryan's Foods,Data Verified by PH - 5/25/2012,(313) 843-7440,(313) 843-5350,rskathawa@aol.com,,Yes,NETS/Devries,-83.1049642416975,42.3168316092103,99
100,Save-A-Lot Store #23387,15001 Houston Whittier St,Detroit,MI,48205,,,12700.2979257275,Save-A-Lot Store #23387,Data Verified by PH - 5/25/2012,(313) 839-0600,(313) 839-0620,,http://savealot.com/,Yes,NETS/Devries,-82.9670600184811,42.4210280185877,100
101,Save-A-Lot Store #23490,13750 Fenkell St,Detroit,MI,48227,,,11789.3834967706,Save-A-Lot Store #23490,Data Verified by PH - 5/25/2012,(313) 493-4831,(313) 493-4655,,http://savealot.com/,Yes,NETS/Devries,-83.1813433787559,42.4023156506873,101
102,Save-A-Lot Store #23794,2545 S Schaefer Hwy,Detroit,MI,48217,,,12157.9435898283,Save-A-Lot Store #23794,Data Verified by PH - 5/25/2012,(313) 842-5000,(313) 842-1090,,http://savealot.com/,Yes,NETS/Devries,-83.1476968049576,42.2755967907072,102
103,Save-A-Lot Store #24091,5181 Grand River Ave,Detroit,MI,48208,,,25293.0779735158,Save-A-Lot Store #24091,Data Verified by PH - 5/25/2012,(313) 896-1100,(313) 896-0637,,http://savealot.com/,Yes,NETS/Devries,-83.0925199926294,42.349146069906,103
104,Save-A-Lot Store #24329,8000 Schaefer Hwy,Detroit,MI,48228,,,14591.9262253887,Save-A-Lot Store #24329,Data Verified by PH - 5/25/2012,(313) 584-9930,(313) 584-9920,,http://savealot.com/,Yes,NETS/Devries,-83.1768510789948,42.3515967638285,104
105,Save-A-Lot Store #24598,3681 Gratiot Ave,Detroit,MI,48207,,,14499.7210238325,Save-A-Lot Store #24598,Data Verified by PH - 5/25/2012,(313) 571-0700,(313) 924-7618,,http://savealot.com/,Yes,NETS/Devries,-83.0255715747819,42.3636887580996,105
106,Save-A-Lot Store #24846,4703 Conner St,Detroit,MI,48215,,,32377.5372298161,Save-A-Lot Store #24846,Data Verified by PH - 5/25/2012,(313) 823-4000,(313) 823-4001,,http://savealot.com/,Yes,DIGA,-82.9728260058325,42.3870485803646,106
107,Sav-Mart Food Center,7011 Gratiot Ave,Detroit,MI,48207,,,9508.19482547503,Sav-Mart Food Center,Data Verified by PH - 5/25/2012,(313) 921-0164,(313) 921-4010,savmart@gmail.com,http://farmerjohnmarket.com/,Yes,NETS/Devries,-83.0188307340007,42.3713414717433,107
